"Source:","/home/shay/a/ooh/362_schematics/368project/368project.kicad_sch"
"Date:","Wed Apr 27 15:03:12 2022"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","33"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","10k1","10k","Device:R_Potentiometer_US","eec:Bourns-3310R-0-0-MFG","~"
"","","C1",".1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C2",".1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C3","0.1uf","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C4",".1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C5","10uf","Device:C_Polarized_US","Capacitor_SMD:C_0805_2012Metric","~"
"","","C6",".1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C7",".1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C8","10uf","Device:C_Polarized_US","Capacitor_SMD:C_0805_2012Metric","~"
"","","C9",".1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C10","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C11","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C12","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C13","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","D1","BAT60JFILM","Diode:BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9"
"","","D2","BAT60JFILM","Diode:BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9"
"","","FB1","FerriteBead","Device:FerriteBead","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","J1","TRRS Jack","Connector:AudioJack4","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
"","","J2","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"","","JP1","PINHD-1X5","joystick-eagle-import:PINHD-1X5","joystick:1X05",""
"","","JP2","PINHD-1X5","joystick-eagle-import:PINHD-1X5","joystick:1X05",""
"","","LD1","LED_Red","stm32f091-rescue:LED_Small_ALT-Device","LED_SMD:LED_0805_2012Metric",""
"","","LD2","LED_Green","Device:LED_Filled","LED_SMD:LED_0805_2012Metric","~"
"","","R1","5.1k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R2","100K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R3","100K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R4","1k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_PTS645","~"
"","","U1","TFT LCD MSP2022","Driver_Display:CR2013-MI2120","Display:CR2013-MI2120","http://pan.baidu.com/s/11Y990"
"","","U2","STM32F091RCTx","MCU_ST_STM32F0:STM32F091RCTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00115237.pdf"
"","","U3","JOYSTICKPTH","joystick-eagle-import:JOYSTICKPTH","joystick:JOYSTICK",""
"","","U4","JOYSTICKPTH","joystick-eagle-import:JOYSTICKPTH","joystick:JOYSTICK",""
"","","U5","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","10k1","10k","Device:R_Potentiometer_US","eec:Bourns-3310R-0-0-MFG","~"
"2","6","C1, C2, C4, C6, C7, C9",".1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"3","1","C3","0.1uf","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"4","2","C5, C8","10uf","Device:C_Polarized_US","Capacitor_SMD:C_0805_2012Metric","~"
"5","2","C10, C13","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"6","2","C11, C12","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"7","2","D1, D2","BAT60JFILM","Diode:BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9"
"8","1","FB1","FerriteBead","Device:FerriteBead","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"9","1","J1","TRRS Jack","Connector:AudioJack4","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
"10","1","J2","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"11","2","JP1, JP2","PINHD-1X5","joystick-eagle-import:PINHD-1X5","joystick:1X05",""
"12","1","LD1","LED_Red","stm32f091-rescue:LED_Small_ALT-Device","LED_SMD:LED_0805_2012Metric",""
"13","1","LD2","LED_Green","Device:LED_Filled","LED_SMD:LED_0805_2012Metric","~"
"14","1","R1","5.1k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"15","2","R2, R3","100K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"16","1","R4","1k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"17","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_PTS645","~"
"18","1","U1","TFT LCD MSP2022","Driver_Display:CR2013-MI2120","Display:CR2013-MI2120","http://pan.baidu.com/s/11Y990"
"19","1","U2","STM32F091RCTx","MCU_ST_STM32F0:STM32F091RCTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00115237.pdf"
"20","2","U3, U4","JOYSTICKPTH","joystick-eagle-import:JOYSTICKPTH","joystick:JOYSTICK",""
"21","1","U5","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
